5. Èþíü 2011 | 21:48:00 | - TeleportHack = 1
5. Èþíü 2011 | 21:48:00 | - MaxPing = 500
5. Èþíü 2011 | 21:48:00 | - SpectateHack = 1
5. Èþíü 2011 | 21:48:00 | - Blacklist = 1
5. Èþíü 2011 | 21:48:00 | - IpBans = 1
5. Èþíü 2011 | 21:48:00 | - TempBans = 1
5. Èþíü 2011 | 21:48:00 | - SpawnKill = 0
5. Èþíü 2011 | 21:48:00 | - CapsLock = 0
5. Èþíü 2011 | 21:48:00 | - 3DSpeed = 0
5. Èþíü 2011 | 21:48:00 | - MaxSpeed = 0
5. Èþíü 2011 | 21:48:00 | - AdminImmunity = 1
5. Èþíü 2011 | 21:48:00 | - Advertisement = 0
5. Èþíü 2011 | 21:48:00 | - FreezeUpdate = 1
5. Èþíü 2011 | 21:48:00 | - SpawnTime = 10
5. Èþíü 2011 | 21:48:00 | - CheckpointTeleport = 1
5. Èþíü 2011 | 21:48:00 | - Airbreak = 1
5. Èþíü 2011 | 21:48:00 | - TankMode = 1
5. Èþíü 2011 | 21:48:00 | - WarnPlayers = 0
5. Èþíü 2011 | 21:48:00 | 0 IP-bans have been loaded.
5. Èþíü 2011 | 21:48:00 | 0 temporary bans have been loaded.
5. Èþíü 2011 | 21:48:00 | 1 whitelist entries have been loaded.
5. Èþíü 2011 | 21:48:00 | 0 blacklist entries have been loaded.
5. Èþíü 2011 | 21:48:00 | 8 bad words have been loaded.
5. Èþíü 2011 | 21:48:00 | 7 forbidden weapons have been loaded.
5. Èþíü 2011 | 21:48:00 | JunkBuster has been configurated.
5. Èþíü 2011 | 21:48:00 | JunkBuster óñïåøíî çàïóùåí!.
5. Èþíü 2011 | 22:00:10 | Current JunkBuster configuration:
5. Èþíü 2011 | 22:00:10 | - WeaponHack = 1
5. Èþíü 2011 | 22:00:10 | - MoneyHack = 1
5. Èþíü 2011 | 22:00:10 | - Jetpack = 1
5. Èþíü 2011 | 22:00:10 | - HealthHack = 0
5. Èþíü 2011 | 22:00:10 | - ArmourHack = 0
5. Èþíü 2011 | 22:00:10 | - DriveBy = 1
5. Èþíü 2011 | 22:00:10 | - Spam = 1
5. Èþíü 2011 | 22:00:10 | - CommandSpam = 1
5. Èþíü 2011 | 22:00:10 | - BadWords = 1
5. Èþíü 2011 | 22:00:10 | - CarJackHack = 1
5. Èþíü 2011 | 22:00:10 | - TeleportHack = 1
5. Èþíü 2011 | 22:00:10 | - MaxPing = 500
5. Èþíü 2011 | 22:00:10 | - SpectateHack = 1
5. Èþíü 2011 | 22:00:10 | - Blacklist = 1
5. Èþíü 2011 | 22:00:10 | - IpBans = 1
5. Èþíü 2011 | 22:00:10 | - TempBans = 1
5. Èþíü 2011 | 22:00:10 | - SpawnKill = 0
5. Èþíü 2011 | 22:00:10 | - CapsLock = 0
5. Èþíü 2011 | 22:00:10 | - 3DSpeed = 0
5. Èþíü 2011 | 22:00:10 | - MaxSpeed = 0
5. Èþíü 2011 | 22:00:10 | - AdminImmunity = 1
5. Èþíü 2011 | 22:00:10 | - Advertisement = 0
5. Èþíü 2011 | 22:00:10 | - FreezeUpdate = 1
5. Èþíü 2011 | 22:00:10 | - SpawnTime = 10
5. Èþíü 2011 | 22:00:10 | - CheckpointTeleport = 1
5. Èþíü 2011 | 22:00:10 | - Airbreak = 1
5. Èþíü 2011 | 22:00:10 | - TankMode = 1
5. Èþíü 2011 | 22:00:10 | - WarnPlayers = 0
5. Èþíü 2011 | 22:00:10 | 0 IP-bans have been loaded.
5. Èþíü 2011 | 22:00:10 | 0 temporary bans have been loaded.
5. Èþíü 2011 | 22:00:10 | 1 whitelist entries have been loaded.
5. Èþíü 2011 | 22:00:10 | 0 blacklist entries have been loaded.
5. Èþíü 2011 | 22:00:10 | 8 bad words have been loaded.
5. Èþíü 2011 | 22:00:10 | 7 forbidden weapons have been loaded.
5. Èþíü 2011 | 22:00:10 | JunkBuster has been configurated.
5. Èþíü 2011 | 22:00:10 | JunkBuster óñïåøíî çàïóùåí!.
5. Èþíü 2011 | 22:08:26 | Current JunkBuster configuration:
5. Èþíü 2011 | 22:08:26 | - WeaponHack = 1
5. Èþíü 2011 | 22:08:26 | - MoneyHack = 1
5. Èþíü 2011 | 22:08:26 | - Jetpack = 1
5. Èþíü 2011 | 22:08:26 | - HealthHack = 0
5. Èþíü 2011 | 22:08:26 | - ArmourHack = 0
5. Èþíü 2011 | 22:08:26 | - DriveBy = 1
5. Èþíü 2011 | 22:08:26 | - Spam = 1
5. Èþíü 2011 | 22:08:26 | - CommandSpam = 1
5. Èþíü 2011 | 22:08:26 | - BadWords = 1
5. Èþíü 2011 | 22:08:26 | - CarJackHack = 1
5. Èþíü 2011 | 22:08:26 | - TeleportHack = 1
5. Èþíü 2011 | 22:08:26 | - MaxPing = 500
5. Èþíü 2011 | 22:08:26 | - SpectateHack = 1
5. Èþíü 2011 | 22:08:26 | - Blacklist = 1
5. Èþíü 2011 | 22:08:26 | - IpBans = 1
5. Èþíü 2011 | 22:08:26 | - TempBans = 1
5. Èþíü 2011 | 22:08:26 | - SpawnKill = 0
5. Èþíü 2011 | 22:08:26 | - CapsLock = 0
5. Èþíü 2011 | 22:08:26 | - 3DSpeed = 0
5. Èþíü 2011 | 22:08:26 | - MaxSpeed = 0
5. Èþíü 2011 | 22:08:26 | - AdminImmunity = 1
5. Èþíü 2011 | 22:08:26 | - Advertisement = 0
